,desired_answer,student_answer,label
0,To simulate the behaviour of portions of the desired software product.,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,1
1,To simulate the behaviour of portions of the desired software product.,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,2
2,To simulate the behaviour of portions of the desired software product.,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,1
3,To simulate the behaviour of portions of the desired software product.,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",2
4,To simulate the behaviour of portions of the desired software product.,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,1
5,To simulate the behaviour of portions of the desired software product.,To find problem and errors in a program before it is finalized,1
6,To simulate the behaviour of portions of the desired software product.,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",1
7,To simulate the behaviour of portions of the desired software product.,you can break the whole program into prototype programs to simulate parts of the final program,2
8,To simulate the behaviour of portions of the desired software product.,#NAME?,0
9,To simulate the behaviour of portions of the desired software product.,Simulating the behavior of only a portion of the desired software product.,2
10,To simulate the behaviour of portions of the desired software product.,A program that stimulates the behavior of portions of the desired software product.,2
11,To simulate the behaviour of portions of the desired software product.,A program that simulates the behavior of portions of the desired software product.,2
12,To simulate the behaviour of portions of the desired software product.,To lay out the basics and give you a starting point in the actual problem solving.,1
13,To simulate the behaviour of portions of the desired software product.,To simulate problem solving for parts of the problem,1
14,To simulate the behaviour of portions of the desired software product.,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,1
15,To simulate the behaviour of portions of the desired software product.,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",1
16,To simulate the behaviour of portions of the desired software product.,Program that simulates the behavior of portions of the desired software product,2
17,To simulate the behaviour of portions of the desired software product.,it provides a limited proof of concept to verify with the client before actually programming the whole application.,1
18,To simulate the behaviour of portions of the desired software product.,It tests the main function of the program while leaving out the finer details.,1
19,To simulate the behaviour of portions of the desired software product.,To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.,1
20,To simulate the behaviour of portions of the desired software product.,it simulates the behavior of portions of the desired software product,2
21,To simulate the behaviour of portions of the desired software product.,It simulates the behavior of portions of the desired software product.,2
22,To simulate the behaviour of portions of the desired software product.,A prototype program is used in problem solving to collect data for the problem.,0
23,To simulate the behaviour of portions of the desired software product.,To ease the understanding of problem under discussion and to ease the understanding of the program itself,1
24,To simulate the behaviour of portions of the desired software product.,The role of a prototype program is to help spot key problems that may arise during the actual programing.,1
25,To simulate the behaviour of portions of the desired software product.,"the prototype program gives a general idea of what the end product will do,   without the time and effort to write out the entire program.",1
26,To simulate the behaviour of portions of the desired software product.,to show that a certain part of the program works as it is supposed to,1
27,To simulate the behaviour of portions of the desired software product.,"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution. ",1
28,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.,1
29,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),The implementation phase and the maintenance phase are effected,1
30,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Verification, coding, refining the solution and maintenance are all influenced by the testing stage.",1
